PassengerId,Survived,CabinWasMissing,LogFare,FarePerPerson,Pclass,PclassFareInteraction,IsAlone,LogAge,Parch,FamilySize,AgeWasMissing,EmbarkedWasMissing,FareWasMissing
1,0,1,2.110213,3.625,3,21.75,0,3.135494,0,2,0,0,0
2,1,0,4.199221,32.8172,1,65.6344,0,3.663562,0,2,0,0,0
3,1,1,2.188856,7.925,3,23.775,1,3.295837,0,1,0,0,0
4,1,0,3.990834,26.55,1,53.1,0,3.583519,0,2,0,0,0
5,0,1,2.202765,8.05,3,24.15,1,3.583519,0,1,0,0,0
6,0,1,2.246893,8.4583,3,25.3749,1,3.295837,0,1,1,0,0
7,0,0,3.967694,51.8625,1,51.8625,1,4.007333,0,1,0,0,0
8,0,1,3.094446,4.215,3,63.225,0,1.098612,1,5,0,0,0
9,1,1,2.495954,3.7111,3,33.3999,0,3.332205,2,3,0,0,0
10,1,1,3.436268,15.0354,2,60.1416,0,2.70805,0,2,0,0,0
11,1,0,2.873565,5.566667,3,50.1,0,1.609438,1,3,0,0,0
12,1,0,3.316003,26.55,1,26.55,1,4.077537,0,1,0,0,0
13,0,1,2.202765,8.05,3,24.15,1,3.044522,0,1,0,0,0
14,0,1,3.474293,4.467857,3,93.825,0,3.688879,5,7,0,0,0
15,0,1,2.180892,7.8542,3,23.5626,1,2.70805,0,1,0,0,0
16,1,1,2.833213,16,2,32,1,4.025352,0,1,0,0,0
17,0,1,3.405355,4.854167,3,87.375,0,1.098612,1,6,0,0,0
18,1,1,2.639057,13,2,26,1,3.465736,0,1,1,0,0
19,0,1,2.944439,9,3,54,0,3.465736,0,2,0,0,0
20,1,1,2.107178,7.225,3,21.675,1,3.465736,0,1,1,0,0
21,0,1,3.295837,26,2,52,1,3.583519,0,1,0,0,0
22,1,0,2.639057,13,2,26,1,3.555348,0,1,0,0,0
23,1,1,2.200464,8.0292,3,24.0876,1,2.772589,0,1,0,0,0
24,1,0,3.597312,35.5,1,35.5,1,3.367296,0,1,0,0,0
25,0,1,3.094446,4.215,3,63.225,0,2.197225,1,5,0,0,0
26,1,1,3.477773,4.483929,3,94.1625,0,3.663562,5,7,0,0,0
27,0,1,2.107178,7.225,3,21.675,1,3.295837,0,1,1,0,0
28,0,0,4.199221,10.939067,1,65.6344,0,2.995732,2,6,0,0,0
29,1,1,2.183711,7.8792,3,23.6376,1,2.944439,0,1,1,0,0
30,0,1,2.185579,7.8958,3,23.6874,1,3.295837,0,1,1,0,0
31,0,1,3.357622,27.7208,1,27.7208,1,3.713572,0,1,0,0,0
32,1,0,4.199221,32.8172,1,65.6344,0,3.713572,0,2,1,0,0
33,1,1,2.169054,7.75,3,23.25,1,2.944439,0,1,1,0,0
34,0,1,2.442347,10.5,2,21,1,4.117003,0,1,0,0,0
35,0,1,4.199221,32.8172,1,65.6344,0,3.367296,0,2,0,0,0
36,0,1,3.970292,26,1,52,0,3.7612,0,2,0,0,0
37,1,1,2.107689,7.2292,3,21.6876,1,3.295837,0,1,1,0,0
38,0,1,2.202765,8.05,3,24.15,1,3.091042,0,1,0,0,0
39,0,1,2.944439,6,3,54,0,2.944439,0,3,0,0,0
40,1,1,2.504848,5.62085,3,33.7251,0,2.70805,0,2,0,0,0
41,0,1,2.348991,4.7375,3,28.425,0,3.713572,0,2,0,0,0
42,0,1,3.091042,10.5,2,42,0,3.332205,0,2,0,0,0
43,0,1,2.185579,7.8958,3,23.6874,1,3.295837,0,1,1,0,0
44,1,1,3.751366,10.3948,2,83.1584,0,1.386294,2,4,0,0,0
45,1,1,2.183711,7.8792,3,23.6376,1,2.995732,0,1,0,0,0
46,0,1,2.202765,8.05,3,24.15,1,3.295837,0,1,1,0,0
47,0,1,2.80336,7.75,3,46.5,0,3.295837,0,2,1,0,0
48,1,1,2.169054,7.75,3,23.25,1,2.944439,0,1,1,0,0
49,0,1,3.121448,7.2264,3,65.0376,0,3.295837,0,3,1,0,0
50,0,1,2.933857,8.9,3,53.4,0,2.944439,0,2,0,0,0
51,0,1,3.705921,6.614583,3,119.0625,0,2.079442,1,6,0,0,0
52,0,1,2.174752,7.8,3,23.4,1,3.091042,0,1,0,0,0
53,1,0,4.199221,32.8172,1,65.6344,0,3.912023,0,2,0,0,0
54,1,1,3.295837,13,2,52,0,3.401197,0,2,0,0,0
55,0,0,4.142805,30.9896,1,61.9792,0,4.117003,1,2,0,0,0
56,1,0,3.597312,35.5,1,35.5,1,3.713572,0,1,1,0,0
57,1,1,2.442347,10.5,2,21,1,3.091042,0,1,0,0,0
58,0,1,2.107689,7.2292,3,21.6876,1,3.38439,0,1,0,0,0
59,1,1,3.358638,6.9375,2,55.5,0,1.791759,2,4,0,0,0
60,0,1,3.869116,5.8625,3,140.7,0,2.484907,2,8,0,0,0
61,0,1,2.107689,7.2292,3,21.6876,1,3.135494,0,1,0,0,0
62,1,0,4.199221,65.6344,1,65.6344,1,3.663562,0,1,0,1,0
63,0,0,4.199221,32.8172,1,65.6344,0,3.828641,0,2,0,0,0
64,0,1,3.363842,4.65,3,83.7,0,1.609438,2,6,0,0,0
65,0,1,3.357622,27.7208,1,27.7208,1,3.713572,0,1,1,0,0
66,1,1,2.787834,5.081933,3,45.7374,0,1.609438,1,3,1,0,0
67,1,0,2.442347,10.5,2,21,1,3.401197,0,1,0,0,0
68,0,1,2.214661,8.1583,3,24.4749,1,2.995732,0,1,0,0,0
69,1,1,2.188856,1.132143,3,23.775,0,2.890372,2,7,0,0,0
70,0,1,2.268252,2.8875,3,25.9875,0,3.295837,0,3,0,0,0
71,0,1,2.442347,10.5,2,21,1,3.496508,0,1,0,0,0
72,0,1,3.869116,5.8625,3,140.7,0,2.833213,2,8,0,0,0
73,0,1,4.199221,65.6344,2,131.2688,1,3.091042,0,1,0,0,0
74,0,1,2.737881,7.2271,3,43.3626,0,3.295837,0,2,0,0,0
75,1,1,4.051712,56.4958,3,169.4874,1,3.496508,0,1,0,0,0
76,0,0,2.157559,7.65,3,22.95,1,3.258097,0,1,0,0,0
77,0,1,2.185579,7.8958,3,23.6874,1,3.295837,0,1,1,0,0
78,0,1,2.202765,8.05,3,24.15,1,3.295837,0,1,1,0,0
79,1,1,3.401197,9.666667,2,58,0,0.604316,2,3,0,0,0
80,1,1,2.600836,12.475,3,37.425,1,3.433987,0,1,0,0,0
81,0,1,2.302585,9,3,27,1,3.135494,0,1,0,0,0
82,1,1,2.351375,9.5,3,28.5,1,3.401197,0,1,0,0,0
83,1,1,2.17333,7.7875,3,23.3625,1,2.944439,0,1,1,0,0
84,0,1,3.873282,47.1,1,47.1,1,3.367296,0,1,0,0,0
85,1,1,2.442347,10.5,2,21,1,2.890372,0,1,0,0,0
86,1,1,2.824351,3.9625,3,47.55,0,3.526361,0,4,0,0,0
87,0,1,3.566005,6.875,3,103.125,0,2.833213,3,5,0,0,0
88,0,1,2.202765,8.05,3,24.15,1,3.295837,0,1,1,0,0
89,1,0,4.199221,10.939067,1,65.6344,0,3.178054,2,6,0,0,0
90,0,1,2.202765,8.05,3,24.15,1,3.218876,0,1,0,0,0
91,0,1,2.202765,8.05,3,24.15,1,3.401197,0,1,0,0,0
92,0,1,2.180892,7.8542,3,23.5626,1,3.044522,0,1,0,0,0
93,0,0,4.129953,30.5875,1,61.175,0,3.850148,0,2,0,0,0
94,0,1,3.071535,5.14375,3,61.725,0,3.295837,2,4,0,0,0
95,0,1,2.110213,7.25,3,21.75,1,4.094345,0,1,0,0,0
96,0,1,2.202765,8.05,3,24.15,1,3.295837,0,1,1,0,0
97,0,0,3.573867,34.6542,1,34.6542,1,4.117003,0,1,0,0,0
98,1,0,4.164466,31.67915,1,63.3583,0,3.178054,1,2,0,0,0
99,1,1,3.178054,11.5,2,46,0,3.555348,1,2,0,0,0
100,0,1,3.295837,13,2,52,0,3.555348,0,2,0,0,0
101,0,1,2.185579,7.8958,3,23.6874,1,3.367296,0,1,0,0,0
102,0,1,2.185579,7.8958,3,23.6874,1,3.295837,0,1,1,0,0
103,0,0,4.199221,32.8172,1,65.6344,0,3.091042,1,2,0,0,0
104,0,1,2.267393,8.6542,3,25.9626,1,3.526361,0,1,0,0,0
105,0,1,2.188856,2.641667,3,23.775,0,3.637586,0,3,0,0,0
106,0,1,2.185579,7.8958,3,23.6874,1,3.367296,0,1,0,0,0
107,1,1,2.157559,7.65,3,22.95,1,3.091042,0,1,0,0,0
108,1,1,2.171907,7.775,3,23.325,1,3.295837,0,1,1,0,0
109,0,1,2.185579,7.8958,3,23.6874,1,3.663562,0,1,0,0,0
110,1,1,3.224858,12.075,3,72.45,0,2.944439,0,2,1,0,0
111,0,0,3.970292,52,1,52,1,3.871201,0,1,0,0,0
112,0,1,2.737881,7.2271,3,43.3626,0,2.74084,0,2,0,0,0
113,0,1,2.202765,8.05,3,24.15,1,3.135494,0,1,0,0,0
114,0,1,2.381858,4.9125,3,29.475,0,3.044522,0,2,0,0,0
115,0,1,2.738146,14.4583,3,43.3749,1,2.890372,0,1,0,0,0
116,0,1,2.188856,7.925,3,23.775,1,3.091042,0,1,0,0,0
117,0,1,2.169054,7.75,3,23.25,1,4.117003,0,1,0,0,0
118,0,1,3.091042,10.5,2,42,0,3.401197,0,2,0,0,0
119,0,0,4.199221,32.8172,1,65.6344,0,3.218876,1,2,0,0,0
120,0,1,3.474293,4.467857,3,93.825,0,1.098612,2,7,0,0,0
121,0,1,4.199221,21.878133,2,131.2688,0,3.091042,0,3,0,0,0
122,0,1,2.202765,8.05,3,24.15,1,3.295837,0,1,1,0,0
123,0,1,3.436268,15.0354,2,60.1416,0,3.511545,0,2,0,0,0
124,1,0,2.639057,13,2,26,1,3.511545,0,1,0,0,0
125,0,0,4.199221,32.8172,1,65.6344,0,4.007333,1,2,0,0,0
126,1,1,2.504848,5.62085,3,33.7251,0,2.564949,0,2,0,0,0
127,0,1,2.169054,7.75,3,23.25,1,3.295837,0,1,1,0,0
128,1,1,2.096999,7.1417,3,21.4251,1,3.218876,0,1,0,0,0
129,1,0,3.150952,7.452767,3,67.0749,0,2.944439,1,3,1,0,0
130,0,1,2.076312,6.975,3,20.925,1,3.828641,0,1,0,0,0
131,0,1,2.185579,7.8958,3,23.6874,1,3.526361,0,1,0,0,0
132,0,1,2.085672,7.05,3,21.15,1,3.044522,0,1,0,0,0
133,0,1,2.74084,7.25,3,43.5,0,3.871201,0,2,0,0,0
134,1,1,3.295837,13,2,52,0,3.401197,0,2,0,0,0
135,0,1,2.639057,13,2,26,1,3.258097,0,1,0,0,0
136,0,1,2.775447,15.0458,2,30.0916,1,3.178054,0,1,0,0,0
137,1,0,3.306275,8.7611,1,26.2833,0,2.995732,2,3,0,0,0
138,0,0,3.990834,26.55,1,53.1,0,3.637586,0,2,0,0,0
139,0,1,2.324024,9.2167,3,27.6501,1,2.833213,0,1,0,0,0
140,0,0,4.199221,65.6344,1,65.6344,1,3.218876,0,1,0,0,0
141,0,1,2.787834,5.081933,3,45.7374,0,3.465736,2,3,1,0,0
142,1,1,2.169054,7.75,3,23.25,1,3.135494,0,1,0,0,0
143,1,1,2.824351,7.925,3,47.55,0,3.218876,0,2,0,0,0
144,0,1,2.047693,6.75,3,20.25,1,2.995732,0,1,0,0,0
145,0,1,2.525729,11.5,2,23,1,2.944439,0,1,0,0,0
146,0,1,3.630985,12.25,2,73.5,0,2.995732,1,3,0,0,0
147,1,1,2.174274,7.7958,3,23.3874,1,3.332205,0,1,0,0,0
148,0,1,3.566005,6.875,3,103.125,0,2.302585,2,5,0,0,0
149,0,0,3.295837,8.666667,2,52,0,3.624341,2,3,0,0,0
150,0,1,2.639057,13,2,26,1,3.7612,0,1,0,0,0
151,0,1,2.60454,12.525,2,25.05,1,3.951244,0,1,0,0,0
152,1,0,4.199221,32.8172,1,65.6344,0,3.135494,0,2,0,0,0
153,0,1,2.202765,8.05,3,24.15,1,4.034241,0,1,0,0,0
154,0,1,2.74084,4.833333,3,43.5,0,3.725693,2,3,0,0,0
155,0,1,2.11776,7.3125,3,21.9375,1,3.295837,0,1,1,0,0
156,0,1,4.133232,30.6896,1,61.3792,0,3.951244,1,2,0,0,0
157,1,1,2.167143,7.7333,3,23.1999,1,2.833213,0,1,0,0,0
158,0,1,2.202765,8.05,3,24.15,1,3.433987,0,1,0,0,0
159,0,1,2.268252,8.6625,3,25.9875,1,3.295837,0,1,1,0,0
160,0,1,4.199221,5.966764,3,196.9032,0,1.609438,2,11,1,0,0
161,0,1,2.839078,8.05,3,48.3,0,3.806662,1,2,0,0,0
162,1,1,2.818398,15.75,2,31.5,1,3.713572,0,1,0,0,0
163,0,1,2.171907,7.775,3,23.325,1,3.295837,0,1,0,0,0
164,0,1,2.268252,8.6625,3,25.9875,1,2.890372,0,1,0,0,0
165,0,1,3.705921,6.614583,3,119.0625,0,0.693147,1,6,0,0,0
166,1,1,3.069215,6.841667,3,61.575,0,2.302585,2,3,0,0,0
167,1,0,4.025352,27.5,1,55,0,3.713572,1,2,1,0,0
168,0,1,3.363842,4.65,3,83.7,0,3.828641,4,6,0,0,0
169,0,1,3.293055,25.925,1,25.925,1,3.713572,0,1,1,0,0
170,0,1,4.051712,56.4958,3,169.4874,1,3.367296,0,1,0,0,0
171,0,0,3.540959,33.5,1,33.5,1,4.117003,0,1,0,0,0
172,0,1,3.405355,4.854167,3,87.375,0,1.609438,1,6,0,0,0
173,1,1,2.495954,3.7111,3,33.3999,0,0.693147,1,3,0,0,0
174,0,1,2.188856,7.925,3,23.775,1,3.091042,0,1,0,0,0
175,0,0,3.456184,30.6958,1,30.6958,1,4.043051,0,1,0,0,0
176,0,1,2.180892,2.618067,3,23.5626,0,2.944439,1,3,0,0,0
177,0,1,3.275887,5.09334,3,76.4001,0,1.609438,1,5,1,0,0
178,0,0,3.391568,28.7125,1,28.7125,1,3.931826,0,1,0,0,0
179,0,1,2.639057,13,2,26,1,3.433987,0,1,0,0,0
180,0,1,0,0,3,0,1,3.610918,0,1,0,0,0
181,0,1,4.199221,5.966764,3,196.9032,0,2.944439,2,11,1,0,0
182,0,1,2.775709,15.05,2,30.1,1,3.465736,0,1,1,0,0
